,Noise,SNR,Random state,Error init,Error final,Error with f,Amari init,Amari,Amari with f
0,0.251188643150958,151.1600996308202,0,0,0,0,0.01971696394708957,0.00880499144884701,0.00880499144884701
1,0.251188643150958,151.1600996308202,1,0,0,0,0.017947943484271846,0.0049247147980849395,0.0049247147980849395
2,0.251188643150958,151.1600996308202,2,0,0,0,0.02032373040840534,0.004979171875669985,0.004979171875669985
3,0.251188643150958,151.1600996308202,3,0,0,0,0.009320925234323795,0.004482445846605998,0.004482445846605998
4,0.251188643150958,151.1600996308202,4,0,0,0,0.05309300784665032,0.010798838308058346,0.010798838308058346
5,0.39810717055349726,60.17791956461059,0,0,0,0,0.020195553218424946,0.009650122116338622,0.009650122116338622
6,0.39810717055349726,60.17791956461059,1,0,0,0,0.02021329611487073,0.00602016055148713,0.00602016055148713
7,0.39810717055349726,60.17791956461059,2,0,0,0,0.021825356375348638,0.00576059008084393,0.00576059008084393
8,0.39810717055349726,60.17791956461059,3,0,0,0,0.010190861635335492,0.005410646103605754,0.005410646103605754
9,0.39810717055349726,60.17791956461059,4,0,0,0,0.05790722965838353,0.011373053127194633,0.011373053127194633
10,0.6309573444801934,23.95726128766306,0,0,0,0,0.021363667673470643,0.010742527956524838,0.010742527956524838
11,0.6309573444801934,23.95726128766306,1,0,0,0,0.025153092980461242,0.008459867053413662,0.008459867053413662
12,0.6309573444801934,23.95726128766306,2,0,0,0,0.0252370785280841,0.007044242569720893,0.007044242569720893
13,0.6309573444801934,23.95726128766306,3,0,0,0,0.012187032303683764,0.006752288692013941,0.006752288692013941
14,0.6309573444801934,23.95726128766306,4,0,0,0,0.0665413418110739,0.012188929351060373,0.012188929351060373
15,1.0000000000000002,9.537557505442374,0,0,0,0,0.024136309428690425,0.012653870157868542,0.012653870157868542
16,1.0000000000000002,9.537557505442374,1,0,0,0,0.03635033018842603,0.01472651091654751,0.01472651091654751
17,1.0000000000000002,9.537557505442374,2,0,0,0,0.033081189246541534,0.009808484838066867,0.009808484838066867
18,1.0000000000000002,9.537557505442374,3,0,0,0,0.01727522562241972,0.009161876108970436,0.009161876108970436
19,1.0000000000000002,9.537557505442374,4,0,0,0,0.08721435359225299,0.014004124986300215,0.014004124986300215
