,Noise,SNR,Random state,Error init,Error final,Error with f,Amari init,Amari,Amari with f
0,0.251188643150958,156.86721667100352,0,0,0,0,0.4703327653721166,0.04640936786391132,0.04640936786391132
1,0.251188643150958,156.86721667100352,1,0,0,0,2.0890207949878876,0.026017815681424205,0.026017815681424205
2,0.251188643150958,156.86721667100352,2,0,0,0,0.21220338974550707,0.007944892505612346,0.007944892505612346
3,0.251188643150958,156.86721667100352,3,0,0,0,0.3962725119943773,0.022610011329560156,0.022610011329560156
4,0.251188643150958,156.86721667100352,4,0,0,0,0.23780937027176646,0.03732195897158639,0.03732195897158639
5,0.31622776601683794,98.97652246673547,0,0,0,0,0.4439475495281104,0.060060829082866134,0.060060829082866134
6,0.31622776601683794,98.97652246673547,1,0,0,0,1.3176581508782659,0.032530606130832335,0.032530606130832335
7,0.31622776601683794,98.97652246673547,2,0,0,0,0.19337373918810152,0.011583676457870793,0.011583676457870793
8,0.31622776601683794,98.97652246673547,3,0,0,0,0.35320327298942483,0.02847255694592301,0.02847255694592301
9,0.31622776601683794,98.97652246673547,4,0,0,0,0.24858934037080258,0.05010213884340321,0.05010213884340321
10,0.39810717055349726,62.449963781495605,0,0,0,0,0.44946595903466036,0.0776817488370403,0.0776817488370403
11,0.39810717055349726,62.449963781495605,1,0,0,0,0.7926403929314793,0.04097171568877238,0.04097171568877238
12,0.39810717055349726,62.449963781495605,2,0,0,0,0.17223412297835095,0.016802070140981895,0.016802070140981895
13,0.39810717055349726,62.449963781495605,3,0,0,0,0.3220014837023122,0.037829293359315265,0.037829293359315265
14,0.39810717055349726,62.449963781495605,4,0,0,0,0.2669082072680458,0.06851813189543263,0.06851813189543263
15,0.5011872336272724,39.40326331045671,0,0,0,0,0.5027317491465454,0.10155066913153049,0.10155066913153049
16,0.5011872336272724,39.40326331045671,1,0,0,0,0.6292622392965403,0.052265779754909335,0.052265779754909335
17,0.5011872336272724,39.40326331045671,2,0,0,0,0.15176342646852456,0.0241460578404699,0.0241460578404699
18,0.5011872336272724,39.40326331045671,3,0,0,0,0.307319260529607,0.05350763071934877,0.05350763071934877
19,0.5011872336272724,39.40326331045671,4,0,0,0,0.30104779075026283,0.09421643857992977,0.09421643857992977
20,0.6309573444801934,24.86177838221959,0,0,0,0,0.622439848764363,0.13566023203653232,0.13566023203653232
21,0.6309573444801934,24.86177838221959,1,0,0,0,0.582795828429058,0.06745252516058263,0.06745252516058263
22,0.6309573444801934,24.86177838221959,2,0,0,0,0.136368234111418,0.034328410725811255,0.034328410725811255
23,0.6309573444801934,24.86177838221959,3,0,0,0,0.3267659298783986,0.07713977532271464,0.07713977532271464
24,0.6309573444801934,24.86177838221959,4,0,0,0,0.37976352901968435,0.12969992156502885,0.12969992156502885
25,0.7943282347242815,15.686721667100352,0,1,0,0,0.9351150303979862,0.20359360865294568,0.20359360865294573
26,0.7943282347242815,15.686721667100352,1,0,0,0,0.5781540275226926,0.08761507879992572,0.08761507879992572
